year,risk_factors_2plus_by15,reg,age_desc,x_gender_desc,all,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl
2013,0,Nelson Region,20-24,Female,1065,12780,12399,153,3132,246,4053,2175,0,2124,522,2733,8511
2013,0,Nelson Region,20-24,Male,1137,13644,13338,117,2487,1089,5967,1713,54,1341,567,1659,10158
2013,0,Northland Region,15-19,All,8166,97980,96570,65949,9660,1044,5850,5343,51,6069,2610,5028,28980
2013,0,Northland Region,15-19,Female,3942,47328,46635,32886,4689,111,2124,2835,12,2847,1128,2715,14334
2013,0,Northland Region,15-19,Male,4221,50652,49938,33060,4968,933,3726,2508,36,3219,1479,2313,14646
2013,0,Northland Region,20-24,All,6291,75480,73863,195,14310,3882,25728,9708,330,16077,3630,17001,46971
2013,0,Northland Region,20-24,Female,2988,35832,35058,126,7989,636,9834,5193,18,9603,1659,10422,19905
2013,0,Northland Region,20-24,Male,3306,39648,38802,66,6321,3243,15894,4515,315,6474,1974,6582,27063
2013,0,Otago Region,15-19,All,11955,143448,141057,83481,31812,1650,8850,7962,54,3876,3369,4179,56790
2013,0,Otago Region,15-19,Female,5838,70068,68799,40365,17637,312,3054,4257,0,1641,1533,2007,28023
2013,0,Otago Region,15-19,Male,6114,73380,72255,43119,14175,1335,5796,3705,54,2238,1836,2169,28770
2013,0,Otago Region,20-24,All,14775,177276,171708,234,78267,6855,50226,17382,378,11367,6999,16311,114162
2013,0,Otago Region,20-24,Female,7212,86520,83742,90,41952,1287,21783,9528,18,6015,3069,8628,55392
2013,0,Otago Region,20-24,Male,7563,90756,87969,144,36315,5565,28446,7857,360,5352,3933,7683,58770
2013,0,Southland Region,15-19,All,5271,63276,62622,42762,7239,1029,4887,3267,60,2154,1218,2070,26799
2013,0,Southland Region,15-19,Female,2541,30480,30138,21669,3729,150,1404,1710,0,1002,474,1062,12672
2013,0,Southland Region,15-19,Male,2733,32796,32484,21093,3510,879,3483,1557,60,1149,750,1008,14133
2013,0,Southland Region,20-24,All,4959,59508,58416,192,13806,4332,24651,6654,204,6141,2433,7755,44328
2013,0,Southland Region,20-24,Female,2277,27336,26832,102,7257,738,9570,4167,18,3903,1077,4605,19047
2013,0,Southland Region,20-24,Male,2679,32172,31584,90,6549,3594,15084,2484,186,2238,1359,3147,25284
2013,0,Taranaki Region,15-19,All,6339,76056,75264,51348,8382,852,5067,4404,18,3426,1767,2667,28476
2013,0,Taranaki Region,15-19,Female,3060,36708,36300,25704,4056,135,1530,2490,0,1605,780,1551,14106
2013,0,Taranaki Region,15-19,Male,3279,39348,38967,25641,4326,717,3537,1917,18,1824,987,1116,14370
2013,0,Taranaki Region,20-24,All,5445,65328,64083,168,13278,4443,26967,7872,210,8640,2502,8265,47232
2013,0,Taranaki Region,20-24,Female,2502,30012,29421,99,7209,774,10218,4665,0,5373,1074,5154,19881
2013,0,Taranaki Region,20-24,Male,2943,35316,34665,69,6069,3672,16746,3207,207,3267,1425,3108,27351
2013,0,Tasman Region,15-19,All,2778,33336,32832,23748,2910,606,2352,1935,0,729,552,834,14613
2013,0,Tasman Region,15-19,Female,1251,15024,14787,10998,1356,84,798,984,0,330,234,513,6690
2013,0,Tasman Region,15-19,Male,1527,18312,18048,12750,1554,522,1554,951,0,399,318,324,7923
2013,0,Tasman Region,20-24,All,1815,21756,21099,63,4635,1644,8625,2889,33,2376,834,2574,16002
2013,0,Tasman Region,20-24,Female,828,9912,9588,60,2430,240,3207,1608,0,1653,390,1662,6501
2013,0,Tasman Region,20-24,Male,987,11844,11511,0,2205,1404,5418,1284,33,720,447,912,9501
2013,0,Waikato Region,15-19,All,23934,287208,283479,186936,36183,3975,18798,15870,72,14409,7233,11262,95781
2013,0,Waikato Region,15-19,Female,11469,137640,135732,92868,18939,537,5511,7941,12,6846,3081,6189,45336
2013,0,Waikato Region,15-19,Male,12465,149568,147747,94068,17247,3438,13287,7932,63,7560,4152,5076,50445
2013,0,Waikato Region,20-24,All,23115,277368,271398,612,73668,14112,100050,31701,753,39186,11316,41703,188475
2013,0,Waikato Region,20-24,Female,11292,135480,132393,222,41154,2505,40284,17694,12,25164,5355,26034,85164
2013,0,Waikato Region,20-24,Male,11826,141888,139008,387,32514,11607,59769,14007,741,14022,5961,15672,103311
2013,0,Wellington Region,15-19,All,27501,330012,324492,213543,53970,1524,14313,18942,45,13488,8667,11475,102876
2013,0,Wellington Region,15-19,Female,13515,162168,159312,104256,29163,378,5823,9633,0,6207,3849,6003,54375
2013,0,Wellington Region,15-19,Male,13986,167844,165180,109287,24807,1143,8490,9309,45,7284,4818,5475,48498
2013,0,Wellington Region,20-24,All,31596,379176,369018,1659,129003,9930,129279,44520,318,38745,15570,45594,265185
2013,0,Wellington Region,20-24,Female,15978,191712,186030,846,70494,2184,60645,22755,0,21870,7230,25947,131820
2013,0,Wellington Region,20-24,Male,15621,187464,182988,813,58509,7743,68631,21762,318,16875,8337,19650,133368
2013,0,West Coast Region,15-19,All,1548,18564,18357,12000,1686,489,1803,1191,0,777,411,744,8430
2013,0,West Coast Region,15-19,Female,732,8796,8682,6075,807,96,534,600,0,405,165,387,3846
2013,0,West Coast Region,15-19,Male,816,9768,9678,5925,882,393,1269,591,0,372,246,360,4584
2013,0,West Coast Region,20-24,All,1377,16524,16203,33,2259,1239,7791,1908,33,2355,588,2223,12543
2013,0,West Coast Region,20-24,Female,648,7764,7626,12,1170,318,3024,1308,0,1524,267,1311,5463
2013,0,West Coast Region,20-24,Male,729,8760,8577,21,1089,921,4767,600,33,828,321,912,7080
2013,1,Auckland Region,15-19,All,12927,155112,153198,82395,23340,606,6966,8757,471,24108,6555,18549,27963
2013,1,Auckland Region,15-19,Female,6498,77976,76887,41787,13170,150,2118,3735,30,12675,3219,11607,12387
2013,1,Auckland Region,15-19,Male,6426,77136,76311,40608,10164,459,4845,5025,441,11430,3336,6945,15579
2013,1,Auckland Region,20-24,All,12078,144924,142782,588,23061,2457,36975,19221,2160,51009,7311,58098,67122
2013,1,Auckland Region,20-24,Female,6219,74628,73428,300,14136,603,13842,8904,186,32067,3393,38277,28344
2013,1,Auckland Region,20-24,Male,5856,70296,69351,288,8928,1854,23130,10317,1977,18942,3918,19818,38778
2013,1,Bay of Plenty Region,15-19,All,3846,46164,45726,22500,6783,195,2067,3060,273,8508,2343,6627,9180
