eth,x_gender_desc,year,age,count,denom,denom_adj,pp_sch,pp_ter,pp_sempIT,pp_semp,pp_lemp,pp_cust,pp_lt6_neet,pp_st6_neet,pp1_ben,pp1_ws_empl,pp2_sch,pp2_ter,pp2_sempIT,pp2_semp,pp2_lemp,pp2_cust,pp2_lt6_neet,pp2_st6_neet,pp3_ben,pp3_ws_empl
ALL,All,2015,19,58755,705060,689985,27222,280920,11235,141582,101481,1470,83040,43044,87759,387384,0.039453032,0.407139286,0.016282963,0.205195765,0.14707711,0.002130481,0.120350442,0.062383965,0.127189722,0.561438292
ALL,All,2015,20,59328,711936,696504,5916,269835,13572,184719,92952,2238,92847,34425,99765,434922,0.008493849,0.387413425,0.01948589,0.265208814,0.133455084,0.00321319,0.133304331,0.049425416,0.143236794,0.624435753
ALL,All,2015,21,58821,705864,688974,3915,236640,15153,216600,85971,2055,97701,30942,104022,453507,0.005682362,0.343467243,0.021993573,0.314380514,0.124781196,0.002982696,0.141806512,0.044910258,0.150981024,0.658235289
ALL,All,2015,22,59334,712008,693153,510,186927,17733,269592,80262,3090,105258,29778,107712,477768,0.000735768,0.269676392,0.025583096,0.388935776,0.115792617,0.00445789,0.15185392,0.042960212,0.155394264,0.689267737
ALL,All,2015,23,58665,703992,684663,399,134862,17670,318270,73389,3054,110061,26964,108360,491040,0.000582768,0.196975738,0.025808317,0.464856433,0.107189961,0.004460589,0.160752078,0.039382879,0.158267644,0.717199557
ALL,All,2015,24,58989,707856,688170,330,107055,16545,353622,69054,3561,113709,24294,106566,504756,0.000479533,0.155564759,0.024042024,0.513858494,0.100344392,0.005174593,0.165233881,0.035302324,0.154854178,0.73347574
European,All,2013,15,36192,434328,430083,422070,150,0,69,714,0,5910,1167,0,42993,0.981368713,0.00034877,0,0.000160434,0.001660145,0,0.013741534,0.00271343,0,0.099964425
European,All,2013,16,34065,408804,404460,384171,5946,234,1131,2532,18,7887,2547,2613,85608,0.949836819,0.014701083,0.000578549,0.002796321,0.006260199,4.45038E-05,0.019500074,0.006297285,0.006460466,0.211659991
European,All,2013,17,33453,401436,396738,329889,23844,2010,9333,11358,30,14469,5805,9231,148524,0.83150341,0.060100116,0.005066316,0.023524341,0.028628465,7.56167E-05,0.036469912,0.014631823,0.023267244,0.37436293
European,All,2013,18,34503,414036,408177,201462,82746,7536,38925,38424,201,24003,14874,23334,217839,0.493565292,0.202720878,0.018462579,0.095363041,0.094135632,0.000492433,0.058805371,0.036440074,0.057166376,0.533687591
