year,riskgrp,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,3,20-24,1,1176,54,15,48,0,18,117,465,141,168,15,138,675,0,0,0,159,156,0,Female
2013,3,20-24,1,1092,66,27,39,0,0,123,480,183,165,33,171,690,0,0,0,144,144,0,Male
2013,4,15-19,0,14766,435,309,201,87,63,3324,744,516,330,138,210,4371,2634,1899,1077,3513,2865,1137,All
2013,4,15-19,0,14766,432,309,201,87,63,3324,744,516,333,138,207,4371,2634,1902,1077,3513,2865,1134,Male
2013,4,15-19,1,3156,405,267,201,75,63,1746,633,393,297,96,147,2205,1125,468,903,1557,993,939,All
2013,4,15-19,1,3156,405,270,201,72,63,1746,633,393,297,93,147,2205,1122,465,903,1557,993,939,Male
2013,4,20-24,0,6150,240,84,375,0,27,690,2160,528,1278,78,444,3504,60,12,54,783,741,57,All
2013,4,20-24,0,5940,225,81,363,0,24,666,2064,480,1245,72,414,3375,60,12,51,759,717,57,Female
2013,4,20-24,0,210,15,0,0,0,0,24,93,48,33,0,33,132,0,0,0,24,24,0,Male
2013,4,20-24,1,6150,237,84,372,0,24,687,2157,528,1278,81,444,3504,60,12,54,783,741,57,All
2013,4,20-24,1,5940,222,81,366,0,24,666,2064,483,1248,72,414,3375,60,12,51,759,717,57,Female
2013,4,20-24,1,213,15,0,0,0,0,24,93,45,30,0,30,132,0,0,0,21,21,0,Male
2013,5,15-19,0,18207,573,378,420,105,78,5289,990,549,603,144,180,6294,4380,2535,2448,5277,3660,2511,All
2013,5,15-19,0,9081,279,174,243,30,30,2991,504,234,345,39,66,3435,2583,1284,1647,2988,1854,1677,Female
2013,5,15-19,0,9129,300,204,177,75,48,2298,486,315,258,102,114,2859,1797,1248,801,2289,1806,834,Male
2013,5,15-19,1,5439,540,339,420,96,72,3297,879,459,570,117,153,3855,2454,777,2136,3000,1542,2166,All
2013,5,15-19,1,3066,261,168,243,30,30,2010,465,216,330,36,60,2283,1620,423,1470,1881,840,1482,Female
