year,riskgrp,reg,tla,age_desc,ben_1524,count,emp_info_1yr,emp_place_1yr,emp_skill_1yr,emp_ws_1yr,emp_other_1yr,emp_1yr,emp_info_5yr,emp_place_5yr,emp_skill_5yr,emp_ws_5yr,emp_other_5yr,emp_5yr,emp_ys_1yr,emp_ysneetyts_1yr,emp_ysypypp_1yr,emp_ys_5yr,emp_ysneetyts_5yr,emp_ysypypp_5yr,x_gender_desc
2013,0,Auckland Region,Franklin Ward,20-24,1,408,24,18,12,0,0,57,147,63,51,18,18,213,0,0,0,60,57,0,Female
2013,0,Auckland Region,Franklin Ward,20-24,1,231,12,33,0,15,0,57,111,66,27,24,27,147,0,0,0,24,24,0,Male
2013,0,Auckland Region,Howick Ward,15-19,0,8670,18,15,0,0,0,171,24,24,15,0,0,225,141,111,33,180,150,33,All
2013,0,Auckland Region,Howick Ward,15-19,0,4284,0,0,0,0,0,102,0,0,0,0,0,132,93,69,24,117,93,24,Female
2013,0,Auckland Region,Howick Ward,15-19,0,4389,0,0,0,0,0,69,15,15,0,0,0,93,48,42,0,63,54,0,Male
2013,0,Auckland Region,Howick Ward,15-19,1,261,15,0,0,0,0,57,21,12,0,0,0,69,33,0,27,42,15,27,All
2013,0,Auckland Region,Howick Ward,15-19,1,129,0,0,0,0,0,30,0,0,0,0,0,42,24,0,21,30,0,21,Female
2013,0,Auckland Region,Howick Ward,15-19,1,132,0,0,0,0,0,24,15,0,0,0,0,30,0,0,0,12,0,0,Male
2013,0,Auckland Region,Howick Ward,20-24,0,8175,81,93,18,24,0,186,483,366,144,75,165,984,0,0,0,270,270,0,All
2013,0,Auckland Region,Howick Ward,20-24,0,3978,33,36,12,0,0,78,207,147,69,27,54,438,0,0,0,141,138,0,Female
2013,0,Auckland Region,Howick Ward,20-24,0,4197,48,57,0,12,0,108,273,222,75,45,111,543,0,0,0,129,132,0,Male
2013,0,Auckland Region,Howick Ward,20-24,1,1098,78,66,21,21,0,156,237,159,81,33,48,393,0,0,0,66,66,0,All
2013,0,Auckland Region,Howick Ward,20-24,1,588,33,30,12,0,0,72,114,69,39,18,18,198,0,0,0,39,39,0,Female
2013,0,Auckland Region,Howick Ward,20-24,1,510,48,39,0,12,0,87,123,90,39,18,33,192,0,0,0,30,30,0,Male
2013,0,Auckland Region,Manukau Ward,15-19,0,10851,117,108,63,18,0,1410,201,132,99,21,0,1881,1203,1101,120,1632,1530,129,All
2013,0,Auckland Region,Manukau Ward,15-19,0,5466,66,66,30,0,0,840,111,78,48,0,0,1137,732,654,93,1020,942,99,Female
2013,0,Auckland Region,Manukau Ward,15-19,0,5382,48,42,33,15,0,570,93,54,51,15,0,744,471,447,27,612,588,30,Male
2013,0,Auckland Region,Manukau Ward,15-19,1,858,114,90,63,18,0,348,153,96,78,18,0,447,159,75,96,267,186,99,All
2013,0,Auckland Region,Manukau Ward,15-19,1,516,66,57,27,0,0,216,93,60,39,0,0,285,117,54,75,192,132,78,Female
2013,0,Auckland Region,Manukau Ward,15-19,1,342,45,33,36,15,0,132,63,33,39,15,0,162,42,24,21,72,57,21,Male
2013,0,Auckland Region,Manukau Ward,20-24,0,11733,435,459,189,96,0,918,2778,1470,843,264,459,4983,27,15,15,2190,2175,18,All
2013,0,Auckland Region,Manukau Ward,20-24,0,6147,243,234,102,42,0,504,1485,762,444,117,204,2667,27,0,15,1188,1173,15,Female
2013,0,Auckland Region,Manukau Ward,20-24,0,5589,192,225,87,57,0,411,1296,711,396,147,255,2313,0,0,0,1005,1005,0,Male
2013,0,Auckland Region,Manukau Ward,20-24,1,3462,393,411,186,93,0,813,1392,804,486,150,195,2115,18,0,15,729,711,15,All
2013,0,Auckland Region,Manukau Ward,20-24,1,2373,216,210,99,39,0,444,873,453,285,72,102,1353,18,0,15,483,468,18,Female
2013,0,Auckland Region,Manukau Ward,20-24,1,1089,177,198,84,54,0,369,519,351,201,78,93,762,0,0,0,246,243,0,Male
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,0,8214,75,84,51,18,0,708,126,114,90,27,12,975,543,432,120,774,666,129,All
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,0,4173,39,51,24,0,0,408,72,66,51,0,0,567,321,252,78,465,399,81,Female
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,0,4038,36,36,24,12,0,297,54,51,36,18,0,405,222,180,45,306,270,48,Male
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,1,738,72,78,51,21,0,282,108,93,75,21,0,378,129,42,90,222,147,90,All
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,1,453,36,48,27,0,0,165,60,54,42,0,0,228,81,24,57,147,99,57,Female
2013,0,Auckland Region,Manurewa-Papakura Ward,15-19,1,285,36,30,24,12,0,120,48,36,33,15,0,147,48,15,33,75,48,36,Male
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,0,9360,273,375,120,78,0,678,2076,1251,735,267,471,3825,12,0,0,1644,1638,0,All
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,0,4830,156,183,69,21,0,348,1104,582,399,99,186,2013,0,0,0,912,903,0,Female
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,0,4533,117,192,54,57,0,327,972,669,336,165,285,1812,0,0,0,735,735,0,Male
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,1,2973,267,336,120,78,0,633,1212,750,471,138,213,1866,0,0,0,669,663,0,All
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,1,1977,153,171,66,21,0,330,750,405,300,51,111,1167,0,0,0,444,438,0,Female
2013,0,Auckland Region,Manurewa-Papakura Ward,20-24,1,996,111,165,51,57,0,300,462,342,171,90,99,699,0,0,0,228,228,0,Male
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,0,3576,27,48,15,15,0,258,42,54,21,15,0,390,189,153,42,315,279,45,All
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,0,1803,18,27,0,0,0,159,24,33,12,0,0,246,117,90,30,204,180,30,Female
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,0,1773,12,18,0,0,0,102,18,21,0,0,0,141,72,60,0,111,96,12,Male
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,1,297,27,39,12,12,0,108,36,45,18,15,0,144,45,15,33,84,54,33,All
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,1,177,18,21,0,0,0,63,21,27,15,0,0,93,30,0,21,60,39,24,Female
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,15-19,1,120,0,18,0,0,0,42,15,18,0,0,0,51,15,0,0,27,15,0,Male
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,0,4860,111,165,48,36,0,279,804,552,270,123,240,1572,0,0,0,624,621,0,All
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,0,2547,57,87,30,12,0,150,423,258,144,42,102,804,0,0,0,318,315,0,Female
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,0,2313,54,75,18,21,0,129,381,291,129,78,141,771,0,0,0,306,306,0,Male
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,1,1305,108,147,48,33,0,255,447,303,168,63,93,690,0,0,0,198,192,0,All
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,1,858,57,78,30,12,0,135,258,162,102,24,51,414,0,0,0,120,114,0,Female
2013,0,Auckland Region,Maungakiekie-Tamaki Ward,20-24,1,450,54,69,21,24,0,120,186,138,66,39,45,279,0,0,0,78,78,0,Male
2013,0,Auckland Region,North Shore Ward,15-19,0,7980,75,51,21,0,0,273,111,66,27,0,0,360,171,144,36,222,192,39,All
2013,0,Auckland Region,North Shore Ward,15-19,0,3906,36,27,0,0,0,153,54,30,12,0,0,186,105,87,24,123,105,24,Female
2013,0,Auckland Region,North Shore Ward,15-19,0,4074,39,27,0,0,0,117,57,36,15,0,0,174,66,57,12,99,87,12,Male
2013,0,Auckland Region,North Shore Ward,15-19,1,405,66,45,21,0,0,114,84,54,21,0,0,135,27,0,24,33,15,24,All
2013,0,Auckland Region,North Shore Ward,15-19,1,207,33,24,0,0,0,63,39,27,0,0,0,72,18,0,15,21,0,12,Female
2013,0,Auckland Region,North Shore Ward,15-19,1,198,33,21,0,0,0,51,45,27,0,0,0,66,0,0,0,12,0,0,Male
2013,0,Auckland Region,North Shore Ward,20-24,0,8997,252,186,66,24,0,375,1194,582,264,51,231,1530,0,0,0,138,135,0,All
2013,0,Auckland Region,North Shore Ward,20-24,0,4482,123,81,33,0,0,186,540,231,117,24,84,702,0,0,0,78,78,0,Female
2013,0,Auckland Region,North Shore Ward,20-24,0,4515,132,105,30,15,0,195,651,354,144,27,144,828,0,0,0,57,60,0,Male
2013,0,Auckland Region,North Shore Ward,20-24,1,1575,237,174,66,24,0,345,579,324,159,33,75,705,0,0,0,42,39,0,All
2013,0,Auckland Region,North Shore Ward,20-24,1,882,117,78,33,0,0,171,297,138,75,15,33,360,0,0,0,30,30,0,Female
2013,0,Auckland Region,North Shore Ward,20-24,1,693,120,96,33,12,0,174,282,186,81,18,39,342,0,0,0,0,0,0,Male
2013,0,Auckland Region,Orakei Ward,15-19,0,4476,0,0,0,0,0,57,0,0,0,0,0,87,45,33,12,69,57,12,All
2013,0,Auckland Region,Orakei Ward,15-19,0,2169,0,0,0,0,0,30,0,0,0,0,0,48,24,21,0,39,33,0,Female
2013,0,Auckland Region,Orakei Ward,15-19,0,2307,0,0,0,0,0,24,0,0,0,0,0,39,18,15,0,30,24,0,Male
2013,0,Auckland Region,Orakei Ward,15-19,1,102,0,0,0,0,0,18,0,0,0,0,0,24,0,0,0,12,0,0,All
2013,0,Auckland Region,Orakei Ward,15-19,1,57,0,0,0,0,0,12,0,0,0,0,0,15,0,0,0,0,0,0,Female
2013,0,Auckland Region,Orakei Ward,15-19,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Male
2013,0,Auckland Region,Orakei Ward,20-24,0,4497,27,30,0,0,0,54,213,135,48,21,66,501,0,0,0,228,228,0,All
2013,0,Auckland Region,Orakei Ward,20-24,0,2271,12,0,0,0,0,21,78,54,15,0,24,204,0,0,0,102,102,0,Female
2013,0,Auckland Region,Orakei Ward,20-24,0,2226,15,18,0,0,0,33,135,81,33,15,39,297,0,0,0,123,123,0,Male
2013,0,Auckland Region,Orakei Ward,20-24,1,495,27,24,0,0,0,45,93,63,24,15,21,153,0,0,0,36,39,0,All
2013,0,Auckland Region,Orakei Ward,20-24,1,258,0,0,0,0,0,21,36,27,0,0,0,66,0,0,0,18,18,0,Female
2013,0,Auckland Region,Orakei Ward,20-24,1,234,15,12,0,0,0,27,57,39,18,0,12,90,0,0,0,21,18,0,Male
2013,0,Auckland Region,Rodney Ward,15-19,0,3447,12,12,12,0,0,135,39,21,15,0,0,186,102,84,21,126,108,24,All
2013,0,Auckland Region,Rodney Ward,15-19,0,1737,0,0,0,0,0,66,21,12,0,0,0,93,51,42,15,69,57,15,Female
2013,0,Auckland Region,Rodney Ward,15-19,0,1710,0,0,0,0,0,69,18,0,0,0,0,96,48,45,0,57,54,0,Male
2013,0,Auckland Region,Rodney Ward,15-19,1,141,0,12,12,0,0,51,24,15,15,0,0,72,21,0,15,30,18,18,All
2013,0,Auckland Region,Rodney Ward,15-19,1,81,0,0,0,0,0,24,12,0,0,0,0,39,15,0,0,21,12,12,Female
2013,0,Auckland Region,Rodney Ward,15-19,1,60,0,0,0,0,0,24,12,0,0,0,0,33,0,0,0,0,0,0,Male
2013,0,Auckland Region,Rodney Ward,20-24,0,2613,30,60,21,15,0,99,312,279,96,36,180,567,0,0,0,81,81,0,All
2013,0,Auckland Region,Rodney Ward,20-24,0,1248,0,27,15,0,0,45,129,114,48,0,69,255,0,0,0,45,45,0,Female
2013,0,Auckland Region,Rodney Ward,20-24,0,1362,18,33,0,0,0,54,183,165,51,27,108,309,0,0,0,36,36,0,Male
2013,0,Auckland Region,Rodney Ward,20-24,1,432,27,54,21,15,0,90,138,114,51,21,57,222,0,0,0,24,21,0,All
2013,0,Auckland Region,Rodney Ward,20-24,1,261,0,24,15,0,0,45,63,54,33,0,30,117,0,0,0,12,15,0,Female
2013,0,Auckland Region,Rodney Ward,20-24,1,174,18,30,0,0,0,48,72,63,18,15,30,102,0,0,0,0,0,0,Male
2013,0,Auckland Region,Waitakere Ward,15-19,0,9672,45,78,30,15,0,615,105,108,45,21,0,870,492,390,111,696,582,123,All
2013,0,Auckland Region,Waitakere Ward,15-19,0,4854,24,45,24,0,0,369,51,66,30,0,0,504,297,231,75,408,333,81,Female
2013,0,Auckland Region,Waitakere Ward,15-19,0,4818,24,33,0,0,0,246,54,45,15,12,0,369,195,162,36,288,249,42,Male
2013,0,Auckland Region,Waitakere Ward,15-19,1,780,45,69,30,12,0,225,87,84,39,15,0,306,114,27,93,168,84,96,All
2013,0,Auckland Region,Waitakere Ward,15-19,1,459,21,42,24,0,0,129,39,51,27,0,0,180,66,0,63,105,45,63,Female
2013,0,Auckland Region,Waitakere Ward,15-19,1,321,24,27,0,0,0,96,45,33,12,0,0,126,48,18,30,66,36,36,Male
2013,0,Auckland Region,Waitakere Ward,20-24,0,10389,126,288,93,48,0,489,1761,1068,546,141,471,3549,0,0,0,1464,1461,0,All
2013,0,Auckland Region,Waitakere Ward,20-24,0,5196,63,120,48,18,0,240,840,501,300,54,183,1842,0,0,0,834,831,0,Female
2013,0,Auckland Region,Waitakere Ward,20-24,0,5193,63,165,45,30,0,249,921,567,243,84,285,1710,0,0,0,630,630,0,Male
2013,0,Auckland Region,Waitakere Ward,20-24,1,2859,123,255,93,48,0,450,963,612,375,87,186,1539,0,0,0,420,420,0,All
2013,0,Auckland Region,Waitakere Ward,20-24,1,1704,60,105,51,18,0,216,492,309,222,36,90,849,0,0,0,246,246,0,Female
2013,0,Auckland Region,Waitakere Ward,20-24,1,1155,60,150,45,30,0,234,471,303,153,54,93,690,0,0,0,174,174,0,Male
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,0,3504,27,12,0,0,0,156,39,15,0,0,0,207,123,102,27,168,147,27,All
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,0,1821,12,0,0,0,0,90,18,0,0,0,0,123,72,54,18,102,84,21,Female
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,0,1683,12,0,0,0,0,66,18,0,0,0,0,87,51,48,0,66,63,0,Male
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,1,264,24,0,0,0,0,51,27,12,0,0,0,66,24,0,18,39,24,18,All
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,1,153,12,0,0,0,0,33,15,0,0,0,0,42,21,0,15,27,15,15,Female
2013,0,Auckland Region,Waitemata and Gulf Ward,15-19,1,111,0,0,0,0,0,15,12,0,0,0,0,24,0,0,0,0,0,0,Male
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,0,7293,156,87,18,21,0,228,636,336,111,42,132,1044,0,0,0,273,273,0,All
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,0,3705,72,33,0,0,0,99,267,147,45,18,54,501,0,0,0,165,165,0,Female
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,0,3588,84,51,0,12,0,129,372,186,66,24,75,543,0,0,0,108,111,0,Male
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,1,1269,141,81,18,21,0,201,342,171,69,27,54,450,0,0,0,69,69,0,All
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,1,672,66,27,0,0,0,87,156,81,30,0,24,216,0,0,0,33,36,0,Female
2013,0,Auckland Region,Waitemata and Gulf Ward,20-24,1,600,78,48,0,12,0,117,186,93,39,18,27,237,0,0,0,33,33,0,Male
2013,0,Auckland Region,Whau Ward,15-19,0,4224,21,45,12,12,0,252,42,57,18,15,0,420,192,165,33,345,315,36,All
2013,0,Auckland Region,Whau Ward,15-19,0,2061,12,15,0,0,0,138,24,21,0,0,0,234,114,96,18,204,183,21,Female
2013,0,Auckland Region,Whau Ward,15-19,0,2163,0,30,0,0,0,117,18,36,0,12,0,183,81,69,12,141,135,15,Male
2013,0,Auckland Region,Whau Ward,15-19,1,336,21,39,12,12,0,93,36,48,21,15,0,135,39,15,27,75,51,27,All
2013,0,Auckland Region,Whau Ward,15-19,1,189,12,12,0,0,0,45,21,18,0,0,0,72,21,0,18,42,24,18,Female
2013,0,Auckland Region,Whau Ward,15-19,1,150,0,27,0,0,0,48,15,27,0,0,0,66,18,0,0,33,27,0,Male
2013,0,Auckland Region,Whau Ward,20-24,0,4872,72,147,48,33,0,246,732,471,231,78,210,1566,0,0,0,675,675,0,All
2013,0,Auckland Region,Whau Ward,20-24,0,2451,33,57,36,0,0,108,360,198,129,27,72,795,0,0,0,372,369,0,Female
2013,0,Auckland Region,Whau Ward,20-24,0,2421,39,90,15,21,0,135,372,273,99,51,138,768,0,0,0,303,300,0,Male
2013,0,Auckland Region,Whau Ward,20-24,1,1302,69,141,51,33,0,234,396,249,147,51,78,684,0,0,0,213,207,0,All
2013,0,Auckland Region,Whau Ward,20-24,1,762,33,57,36,0,0,111,216,114,93,21,33,384,0,0,0,129,126,0,Female
2013,0,Auckland Region,Whau Ward,20-24,1,540,36,84,15,24,0,126,183,135,54,30,45,300,0,0,0,84,84,0,Male
2013,0,Bay of Plenty Region,Kawerau District,15-19,0,333,0,0,0,0,0,57,0,0,0,0,0,69,42,36,0,51,45,0,All
2013,0,Bay of Plenty Region,Kawerau District,15-19,0,180,0,0,0,0,0,33,0,0,0,0,0,39,24,21,0,30,27,0,Female
2013,0,Bay of Plenty Region,Kawerau District,15-19,0,156,0,0,0,0,0,24,0,0,0,0,0,30,15,12,0,24,21,0,Male
2013,0,Bay of Plenty Region,Kawerau District,15-19,1,63,0,0,0,0,0,30,0,0,0,0,0,33,12,0,0,21,18,0,All
2013,0,Bay of Plenty Region,Kawerau District,15-19,1,39,0,0,0,0,0,15,0,0,0,0,0,21,0,0,0,12,0,0,Female
2013,0,Bay of Plenty Region,Kawerau District,15-19,1,24,0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0,0,Male
2013,0,Bay of Plenty Region,Kawerau District,20-24,0,321,36,18,15,0,0,60,126,63,39,0,66,180,0,0,0,24,24,0,All
2013,0,Bay of Plenty Region,Kawerau District,20-24,0,156,15,0,0,0,0,27,54,24,18,0,24,81,0,0,0,0,0,0,Female
2013,0,Bay of Plenty Region,Kawerau District,20-24,0,162,21,15,0,0,0,36,75,36,21,0,45,99,0,0,0,18,15,0,Male
2013,0,Bay of Plenty Region,Kawerau District,20-24,1,198,36,18,15,0,0,60,105,42,36,0,48,138,0,0,0,18,18,0,All
2013,0,Bay of Plenty Region,Kawerau District,20-24,1,111,15,0,0,0,0,24,45,18,18,0,18,69,0,0,0,0,0,0,Female
2013,0,Bay of Plenty Region,Kawerau District,20-24,1,84,21,15,0,0,0,33,60,24,18,0,33,66,0,0,0,12,12,0,Male
2013,0,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,0,2145,36,21,18,0,0,111,42,27,21,0,0,132,69,48,24,78,57,24,All
2013,0,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,0,1068,18,15,0,0,0,72,24,21,12,0,0,84,45,33,15,48,33,18,Female
2013,0,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,0,1071,15,0,0,0,0,42,18,0,0,0,0,45,24,18,0,30,24,0,Male
2013,0,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,1,168,30,18,18,0,0,60,36,21,21,0,0,72,27,12,18,30,15,21,All
2013,0,Bay of Plenty Region,Mount Maunganui-Papamoa Ward,15-19,1,111,18,12,0,0,0,42,24,15,15,0,0,51,21,0,12,21,0,12,Female
